sentence1,sentence2,similarity_score
A man is looking into the distance and people is walking between buildings behind,A black man is walking next to a shop in a big city,2.3
A white man is walking next to a building in a big city,A man is looking into the distance and people is walking between buildings behind,2.4
A bald man in a band is playing guitar in the spotlight,A bald man in a band is playing an instrument in the spotlight,4.6
A man is playing guitar next to a drummer,A guitar is being played by a man next to a drummer,4.9
A bald man in a band is playing guitar in the spotlight,A guitar is being played by a man next to a drummer,4.0
A bald man in a band is playing guitar in the spotlight,There is no man playing guitar next to a drummer,2.9
A bald man in a band is playing an instrument in the spotlight,A man is playing guitar next to a drummer,3.4
A bald man in a band is playing guitar in the spotlight,A man is playing guitar next to a drummer,3.4
A black dog is jumping from a dock into the water,A black animal is jumping from a dock into the water,4.3
A black dog is jumping off a dock into a pond,A black animal is jumping from a dock into the water,4.2
A black dog is jumping off a dock into a pond,A white dog is jumping from a dock into the water,3.8
A black dog is jumping on a dock into a pond,A black dog is jumping from a dock into the water,4.4
A black dog is jumping off a dock into a pond,A black dog is jumping from a dock into the water,4.6
A bride in a white dress is running,A girl in a white dress is running,4.4
A girl in a white dress is running,A girl in a white dress is standing,3.5
A little girl is smiling and running outside,A little girl is smiling and running inside,4.3
A girl in a white dress is running,A little girl is smiling and running inside,3.0
A girl in a white dress is standing,A little girl is smiling and running outside,2.1
A little girl is smiling and running outside,A girl in a white dress is running,3.7
There is no man skiing down a snowy hill,A man is skiing down a snowy hill,3.1
A man is skiing down a snowy mountain,A skier in black is catching a tiny bit of air,3.4
There is no man skiing down a snowy hill,A skier in black is catching a tiny bit of air,2.8
A skier in black is catching a tiny bit of air,A man is skiing down a snowy hill,3.5
A boy is playing slip and slide in the grass,A child is playing slip and slide in the grass,4.6
A child is splashing in a pool for children and no other children are playing in the background,A child is splashing in a pool for children and other children are playing in the background,2.6
A child is playing slip and slide in the grass,A child is splashing in a pool for children and no other children are playing in the background,2.615
A boy is playing slip and slide in the grass,A child is splashing in a pool for children and other children are playing in the background,2.8
A child is splashing in a pool for children and other children are playing in the background,A child is not playing slip and slide in the grass,2.9
Two men are standing together and one is looking in the distance,Two men are standing together and one is looking through binoculars,4.1
Two women are standing together and one is looking through binoculars,Two men are standing together and one is looking through binoculars,3.7
Two men are looking out and one is holding binoculars,Two men are looking out and one is holding a spyglass,4.0
Two men are standing together and one is looking through binoculars,Two men are looking out and one is holding a spyglass,3.3
Two men are looking out and one is holding binoculars,Two men are standing together and one is looking in the distance,3.7
Two men are standing together and one is looking through binoculars,Two men are looking out and one is holding binoculars,4.4
A man on a motorcycle is going around a corner,A woman on a motorcycle is going around a corner,3.6
An old man in a white shirt and gold and black hat is sitting with crossed legs,A young man in a white shirt and gold and black hat is sitting with crossed legs,3.5
A young person in a white shirt and gold and black hat is sitting with crossed legs,A man with a backwards hat is sitting on the ground,2.8
A man with a backwards hat is sitting on the ground,An old man in a white shirt and gold and black hat is sitting with crossed legs,2.4
A person with a backwards hat is sitting on the ground,A young man in a white shirt and gold and black hat is sitting with crossed legs,3.1
A young man in a white shirt and gold and black hat is sitting with crossed legs,A man with no hat is sitting on the ground,1.915
A young man in a white shirt and gold and black hat is sitting with crossed legs,A man with a backwards hat is sitting on the ground,2.6
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair,4.085
A young oriental girl is standing above the crowd and is playing with a pinwheel,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair,2.6
A young oriental girl is standing above the crowd and is playing with a pinwheel,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,2.2
A young man on a bmx bicycle is jumping off a masonry pyramid,A young man on a bmx bicycle is jumping off a pyramid,4.5
A man on a bike is jumping on a pyramid-shaped ramp,A bicyclist is jumping on a pyramid-shaped ramp,4.4
A young man on a bmx bicycle is jumping on a masonry pyramid,A bicyclist is jumping on a pyramid-shaped ramp,4.3
A shirtless man is playing football on a lawn,A shirtless man is playing football on a field,4.1
A shirtless man is playing football in a gym,A shirtless man is playing football on a lawn,3.7
A shirtless man is playing football on a lawn,A football is being held by a man with no shirt,3.8
A man with no shirt is holding a football,A shirtless man is playing football on a lawn,4.0
The man is going into the lake,The man is going into the water,4.8
The man is going into the water,The man is not going into the water,3.0
The person is going into the sea,The person is going into the water,4.3
The person is going into the water,The person is not going into the water,4.3
The person is going into the water,The man is not going into the water,4.2
Two women dressed in white and black are sitting on a bench,Two men dressed in white and black are sitting on a bench,3.6
Two women dressed in white and black are relaxing on a bench,Two people are sitting on a park bench on a sunny day,3.6
Two people are sitting on a park bench on a sunny day,Two men dressed in white and black are sitting on a bench,3.6
Two women dressed in white and black are sitting on a bench,Two people are sitting on a park bench on a sunny day,3.635
Five people are standing in the grass with no dogs,Five people are standing in the grass with three dogs,4.2
Five people are standing in the grass with three dogs,Five people are standing with three dogs in the park beside the road,3.9
Five people are standing in the grass with three dogs,Five people are running with three dogs in the green field beside the road,3.8
Five people are standing with three dogs in the green field beside the road,Five people are standing in the grass with three dogs,4.3
A girl is carrying a lot of colorful scarves on the beach,A young woman is carrying a lot of colorful scarves on the beach,4.1
A girl in gold and purple is holding a rainbow afghan,A man in gold and purple is holding a rainbow afghan,3.8
A young woman is carrying a lot of colorful scarves on the beach,A rainbow afghan is being held by a girl in gold and purple,3.0
A young woman is carrying a lot of colorful scarves on the beach,A girl in gold and purple is holding a rainbow afghan,2.1
A light brown dog is running in the grass,A light brown dog is running in the water,4.0
A tan dog is splashing in the water on the bank of a pond,A tan dog is playing in the water on the bank of a pond,4.2
A tan dog is splashing in the water on the bank of a pond,A tan dog is splashing in the water on the bank of a river,4.3
A tan dog is splashing in the water on the bank of a pond,A light brown dog is running in the grass,2.3
A light brown dog is running in the water,A tan dog is splashing in the water on the bank of a pond,3.9
The child is splashing water in a small blue pool,The child is splashing water in a big red pool,3.4
A toddler is making a splash outside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,3.5
The child is splashing water in a small blue pool,A baby is splashing inside a blue paddling pool,4.3
A toddler is making a splash outside a blue paddling pool,The child is splashing water in a small blue pool,4.2
A toddler is making a splash inside a blue paddling pool,The child is splashing water in a pool,4.1
A toddler is making a splash inside a blue paddling pool,The child is splashing water in a small blue pool,4.5
A grey silky dog is sleeping in the grass and a brown dog is looking on,A grey silky dog is lying in the grass and a brown dog is looking on,4.5
The brown dog is spotting a black dog lying in the dry field,The brown dog is spotting a black dog lying in the dry grass,4.4
The brown dog is spotting a black dog and is playing in the dry grass,The brown dog is spotting a black dog lying in the dry grass,3.5
A grey silky dog is lying in the grass and a brown dog is looking on,The brown dog is spotting a black dog lying in the dry field,3.3
The brown dog is spotting a black dog lying in the dry grass,A grey silky dog is sleeping in the grass and a brown dog is looking on,3.4
The brown dog is spotting a black dog lying in the dry grass,A grey silky dog is running in the grass and a brown dog looks on,3.1
A man is standing on a dirt hill next to a black jeep,A man is standing on a dirt hill next to a black car,4.3
A man is standing on a black jeep on a dirt hill,A man is standing on a dirt hill next to a black jeep,3.6
A man in a hat is standing outside of a green jeep,A man is standing on a dirt hill next to a black car,3.0
A black dog and a small white and black dog are looking up at a kitchen countertop,Two dogs are looking up at a kitchen countertop,4.6
A large dog and a small dog are standing next to the kitchen counter and are sniffing,A large dog and a small dog are standing next to the kitchen counter and are investigating,4.3
A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog is standing on the kitchen counter and investigate,3.4
A black cat and a small white and black cat are looking up at a kitchen countertop,A large dog and a small dog are standing next to the kitchen counter and are investigating,2.7
A dog is playing on the ground,A dog is rolling on the ground,4.2
A tan dog which is dirty is rolling in the dirt and looking right at the camera,A dirty tan dog is rolling in the dirt and looking right at the camera,4.7
A dirty tan dog is rolling in the water and looking right at the camera,A dirty tan dog is rolling in the dirt and looking right at the camera,3.8
A dirty tan dog is rolling in the dirt and looking right at the camera,A dog is playing on the ground,4.0
A dirty tan dog is rolling in the dirt and looking right at the camera,A dog is rolling on the ground,4.2
An Arabic man isn't wearing a white hat,An Arabic man is wearing a white hat,4.1
A man with a white hat and brown shirt is behind a woman in red and is looking to the right,An Arabic man is wearing a white hat,3.1
A white hat is being worn by an Arabic man,A man with a white hat and brown shirt is behind a woman in red and is looking to the left,2.8
Little boys are playing in a water fountain in front of lots of people,Little kids are playing in a water fountain in front of lots of people,4.4
Children are playing in ground fountains,Little kids are playing in a water fountain in front of lots of people,3.6
Little kids are playing in a water fountain in front of few people,Children are playing in a fountain that is spraying water from the ground,4.1
Children are playing in a fountain that is spraying water from the ground,Little kids are playing in a water fountain in front of lots of people,4.0
A man on a yellow dirt bike is taking a jump,A person on a yellow dirt bike is taking a jump,4.4
A person on a yellow dirt bike is taking a jump,A person on a yellow clean bike is taking a jump,3.6
A person on a yellow dirt bike is taking a jump,A cyclist on a yellow bike is airborne,4.4
An old man with a grey beard is riding a bike,An old man with a beard that is grey is riding a bike,5.0
An old man with a grey beard is not riding a bike,An old man with a grey beard is riding a bike,3.1
An old man with a beard that is grey is riding a bike,A man is wearing a beret and is riding the bicycle on a recreation trail,3.8
An old man with a grey beard is riding a bike,The bicycle is being ridden by a man wearing a beret on a recreation trail,2.8
An old man with a grey beard is riding a bike,A man is wearing a beret and is riding the bicycle on a recreation trail,3.9
Five adults are sitting on stone steps,Five adults are sitting on a chair,3.5
People are sitting against a wall,People is standing against a wall,3.7
People are sitting against a wall,Five adults are sitting on steps made of stone,3.1
"A man is rock climbing, pausing and calculating the route","A woman is rock climbing, pausing and calculating the route",4.2
A man is not rock climbing and a city and a bay are in the background,"A man is rock climbing, pausing and calculating the route",2.8
A little girl wearing a pink shirt is playing t-ball and taking a swing,A little girl in a pink shirt is playing t-ball and taking a swing,4.9
A little girl in a pink shirt is playing t-ball and taking a swing,A little boy in a pink shirt is playing t-ball and taking a swing,3.4
A little girl is hitting a baseball off a tee,A little girl is hitting a ball off a tee,4.6
A little girl is missing a baseball on a tee,A little girl is hitting a baseball off a tee,3.15
A girl is hitting a little tee with a baseball,A little girl is hitting a baseball off a tee,3.9
A little girl wearing a pink shirt is playing t-ball and taking a swing,A little girl is hitting a baseball off a tee,3.6
A little girl is hitting a baseball off a tee,A little girl in a pink shirt is playing t-ball and taking a swing,4.3
A group of people is gathering at a stand at the fair,No group of people is gathering at a stand at the fair,4.6
The people are standing at a carnival,The people are standing at a parade,3.2
The people are standing at a carnival,The people are running at a carnival,4.1
The people are standing at a parade,A group of people is gathering at a stand at the fair,2.7
A group of people is gathering at a stand at the fair,The people are standing at a carnival,3.9
A group of rollerbladers is lining up on the street,A group of rollerbladers is scattering on the street,3.6
Rollerbladers are rolling in formation down a hill,Rollerbladers are running in formation down a hill,4.2
A group of rollerbladers is lining up on the road,Rollerbladers are rolling in formation down a hill,3.7
A group of rollerbladers is scattering on the street,Rollerbladers are rolling in formation down a hill,3.5
A woman is standing with a pair of dogs,A woman is marching with a pair of dogs,4.1
A woman is showing a dog with very long hair at a dog show,A dog with very long hair is being showed by a woman at a dog show,5.0
A woman is showing a dog with very short hair at a dog show,A woman is showing a dog with very long hair at a dog show,3.1
A dog with very long hair is being showed by a woman at a dog show,A woman is marching with a pair of dogs,3.1
A woman is showing a dog with very long hair at a dog show,A woman is marching with a pair of dogs,2.9
A man dressed in black is wearing inline skates and performing a trick on a rail,A woman dressed in black is wearing inline skates and performing a trick on a rail,3.0
A man dressed in black is wearing inline skates and performing acrobatics on a rail,A skateboarder is making a jump off a ramp,2.8
Three children are running down hill,Three kids are running down hill,4.8
Three children are running down hill,Three children are running up hill,3.3
Three children are running down a grassy hillside,Three kids are running down hill,4.8
Three children are running up hill,Three children are running down a grassy hillside,3.7
Three children are running down a grassy hillside,Three children are running down hill,4.3
The black bird with a yellow beak is standing in the green grass,A black bird with a yellow beak is standing in the green grass,5.0
A white bird with a yellow beak is standing in the green grass,A black and orange bird is standing in the grass,2.8
A black bird with a yellow beak is standing in the green grass,A black and orange bird is not standing in the grass,3.2
A black and orange bird is standing in the grass,A black bird with a yellow beak is standing in the green grass,3.9
A shirtless man is posing with a girl who is hiking in a park,A shirtless woman is posing with a girl who is hiking in a park,3.4
A man without a shirt is posing with the arms spread next to a woman,A man without a shirt is posing with the arms spread near a woman,4.7
A shirtless man is posing with a girl who is hiking in a park,A man with a shirt is posing with the arms spread next to a woman,3.4
A shirtless person is posing with a girl who is hiking in a park,A man without a shirt is posing with the arms spread next to a woman,3.6
A man without a shirt is posing with the arms spread next to a woman,A shirtless man is posing with a girl who is hiking in a park,3.8
Two white dogs are not running together,Two white dogs are running together,3.4
Two black puppies are playing near a pool,Two white puppies are playing near a pool,3.6
Two white dogs are running together,Two white puppies are playing near water,3.5
Two white dogs are quickly running together,Two white puppies are playing near a pool,3.8
Two white puppies are playing near a pool,Two white dogs are not running together,2.9
Two white puppies are playing near a pool,Two white dogs are running together,3.2
A group of people are standing around a sound mixing table,A group of people are standing around a sound mixing console,4.7
A group of people are looking at sound equipment,Some people is looking at sound equipment,4.7
A group of people are not looking at sound equipment,A group of people are looking at sound equipment,3.2
A group of people are looking at sound equipment,A group of people are standing around a sound mixing console,4.0
A group of people are looking at sound equipment,A group of people are not standing around a sound mixing table,2.9
A group of people are looking at sound equipment,A group of people are standing around a sound mixing table,3.8
A young couple is sleeping in bed,A young couple is lying in bed,4.3
A young couple is lying in bed,A young couple is not lying in bed,4.0
A young couple is lying on a bed together,A couple is lying on a bed together,4.7
A young couple is lying on a bed together,A young couple is lying on a couch together,3.6
A young couple is lying in bed,A couple is lying on a bed together,4.5
A young couple is lying on a couch together,A young couple is lying in bed,3.4
A young couple is lying in bed,A young couple is lying on a bed together,4.7
People are walking across a rope bridge over a rocky stream,People are not walking across a rope bridge over a rocky stream,2.9
People are crossing a rope bridge over a rocky stream,Three people are walking across a rope and wood bridge over a river,3.7
Three men are walking across a rope and wood bridge over a river,People are walking across a rope bridge over a rocky stream,3.5
Several people are crossing in line a bridge,Several people are walking in line across a bridge,4.4
Several people are crossing in line a bridge,Four people are walking on a bridge over a body of water,4.1
Four people are walking on a bridge over a body of water,Several people are not walking in line across a bridge,3.2
Four people are walking on a bridge over a body of water,Several people are walking in line across a bridge,3.9
A boy is wearing a yellow jacket and is jumping down from a rock,A child is wearing a yellow jacket and is jumping down from a rock,4.6
A child is wearing a yellow jacket and is jumping down from a rock,A child is wearing a yellow jacket and is jumping on a rock,3.7
A boy is wearing a yellow jacket and is jumping down from a rock,A young boy is jumping into water,2.7
A young boy is jumping into water,A child is wearing a yellow jacket and is jumping on a rock,2.3
A child is wearing a yellow jacket and is jumping down from a rock,A young kid is jumping into water,3.1
No young child is riding a three wheeled scooter down the sidewalk,A young child is riding a three wheeled scooter down the sidewalk,3.7
A toddler is riding a plastic scooter toy,A toddler is playing with a plastic scooter toy,4.4
A toddler is riding a plastic scooter toy,A toddler is not riding a plastic scooter toy,3.8
A toddler is playing with a plastic scooter toy,A young child is riding a three wheeled scooter down the sidewalk,3.665
A toddler is not riding a plastic scooter toy,A young child is riding a three wheeled scooter down the sidewalk,3.0
The young child is riding a three wheeled scooter down the sidewalk,A toddler is riding a plastic scooter toy,3.6
A toddler is riding a plastic scooter toy,A young child is riding a three wheeled scooter down the sidewalk,4.0
Three hikers are standing on a mountainside and looking at the view with a pair of binoculars,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,4.4
Three men are sitting on a hill and looking at the mountains and sky,Three men are sitting on a hill and looking at the sea,3.3
Three men are sitting on a hill and looking at the sea,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,3.7
Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,Three men are sitting on a hill and looking at the mountains and sky,3.5
A young girl is jumping rope on a sidewalk near a parking garage,A girl is jumping rope on a sidewalk near a parking garage,4.7
A girl is jumping rope on a sidewalk near a parking garage,A boy is jumping rope on a sidewalk near a parking garage,3.4
A girl is skipping rope in a park,A girl is jumping rope on a sidewalk near a parking garage,3.4
People are clustered around a bonfire at night,People are sitting around a bonfire at night,4.8
Several people are sitting around a fire at night,Several people are gathered around a fire at night,4.565
No people is sitting around a fire at night,Several people are sitting around a fire at night,3.4
People are clustered around a bonfire at night,Several people are gathered around a fire at night,4.8
People are clustered around a bonfire at morning,Several people are sitting around a fire at night,4.1
Several people are sitting around a fire at night,People are clustered around a bonfire at night,4.6
A brown dog is standing in a lake,A brown dog is standing in the water,4.3
A dog is not swimming in a body of water,A dog is swimming in a body of water,2.7
An animal is swimming in a body of water,A brown dog is standing in a lake,3.5
A dog is not swimming in a body of water,A brown dog is standing in a lake,3.7
A brown dog is standing in the water,A dog is swimming in a body of water,3.2
A white dog is standing in a lake,A dog is swimming in a body of water,3.6
A brown dog is standing in a lake,A dog is swimming in a body of water,3.0
Two dogs are running quickly through the park,Two dogs are running through the park,4.6
Two dogs are walking slowly through a park,Two dogs are running through the park,3.585
Two animals are running through the park,Two dogs are running quickly through a park,4.5
Two dogs are running through the beach,Two dogs are running quickly through a park,3.3
Two dogs are running quickly through a park,Two dogs are running through the park,4.5
A boy is wearing all black and is sliding down a blow up yellow slide,A boy is wearing all black and is sliding down a blow up slide,4.3
A boy is wearing all black and is sliding down a blow up yellow slide,A girl is wearing all black and is sliding down a blow up yellow slide,3.8
A boy is speeding down a steep slide,A boy is wearing all black and is sliding down a blow up slide,3.9
A boy is speeding down a steep slide,A girl is wearing all black and is sliding down a blow up yellow slide,2.0
A boy is wearing all black and is sliding down a blow up yellow slide,A kid is speeding down a steep slide,4.1
A boy is wearing all black and is sliding down a blow up yellow slide,A girl is speeding down a steep slide,2.0
A man is hanging on the ledge of a balcony,A man is leaning on the ledge of a balcony,4.1
A man with a white moustache is standing on a balcony and is looking at the road below,A man with moustaches is standing on a balcony and is looking at the road below,4.2
A man is leaning on the ledge of a balcony,A man with moustaches is standing on a balcony and is looking at the road below,3.7
A man with a white moustache is standing on a balcony and is looking at the road below,A man is hanging on the ledge of a balcony,3.4
A man with a white moustache is standing on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony,3.8
A small white dog is running in a lawn,A small white dog is running across a lawn,4.6
A brown and white dog with a brown and black bandanna is running very fast,A brown and white cat with a brown and black bandanna is running very fast,3.7
A small white dog is running across a lawn,A brown and white cat with a brown and black bandanna is running very fast,1.9
A big white dog is running across a lawn,A brown and white dog with a brown and black bandanna is running very fast,3.5
The dog is on a leash and is walking out of the water,The dog is on a leash and is walking near the water,3.9
The dog is on a leash and is walking in the water,The dog is on a leash and is walking out of the water,3.55
A black dog on a leash is walking in the water,A dog on a leash is walking in the water,4.7
A dog on a leash is walking in the water,The dog is on a leash and is walking out of the water,3.9
The dog is on a leash and is walking out of the water,A black dog on a leash is walking in the water,3.6
A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,A child is wearing a coat and is carrying a red sled near a child in a green and black coat,4.5
A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat,A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,3.8
A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat,A little girl in a green coat and a boy holding a red sled are walking in the snow,2.9
A red sled is being held by a little girl in a green coat and a boy walking in the snow,A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,4.1
A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,A little girl in a green coat and a boy holding a red sled are lying in the snow,3.9
A little girl in a green coat and a boy holding a red sled are walking in the snow,A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,3.7
A toddler is standing up,A toddler is sitting down,3.2
A boy is sitting in a seat,A girl is sitting in a seat,3.1
A toddler is sitting in a seat,A toddler is sitting down,4.3
A toddler is sitting down,A girl is sitting in a seat,3.4
A boy is sitting in a seat,A toddler is standing up,2.1
A dog is catching a black frisbee,A dog is catching a white frisbee,3.585
A large wet yellow dog is holding a toy,A dog is catching a black frisbee,3.0
A dog is catching a black frisbee,A large wet yellow cat is retrieving a toy,1.6
A large wet yellow dog is retrieving a toy,A dog is biting a black frisbee,3.1
A large wet yellow dog is retrieving a toy,A dog is catching a white frisbee,3.1
A large wet yellow dog is retrieving a toy,A dog is catching a black frisbee,3.5
A woman is wearing a long black coat and a brown hat and is walking past a park with a lot of blooming trees,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,4.7
A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,3.9
A woman is walking in a city street,A woman is walking in a road,4.2
A woman is walking in a road,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,3.3
A man is walking in a city street,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,1.635
A woman is walking in a city street,A woman is wearing a long black coat and a brown hat and is walking past a park with a lot of blooming trees,3.0
A woman is walking in a city street,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,2.6
Two people are not riding motorbikes,Two people are riding motorbikes,3.3
Dirt bikers are riding on a trail,Bikers are riding on a trail,4.4
Dirt bikers are not riding on a trail,Dirt bikers are riding on a trail,4.0
Two people are riding motorbikes,Bikers are riding on a trail,3.6
Two people are riding motorbikes,Dirt bikers are not riding on a trail,3.1
Dirt bikers are riding on a trail,Motorbikes are being ridden by two people,3.7
A woman is leaning against a pole and is surrounded by people,A man is leaning against a pole and is surrounded by people,3.5
A middle eastern man is standing with the back against a lamp post near to other people,A middle eastern man is standing against a lamp post near to other people,4.5
A middle eastern woman is standing with her back against a lamp post near to other people,A middle eastern man is standing with the back against a lamp post near to other people,3.5
A middle eastern man is standing with the back against a lamp post near to other people,A man is leaning against a pole and is surrounded,3.9
A middle eastern man is standing with the back against a lamp post near to other people,A woman is leaning against a pole and is surrounded by people,2.2
A middle eastern man is standing with the back against a lamp post near to other people,A man is leaning against a pole and is surrounded by people,4.2
A couple is looking at a street guide,A couple is looking at a map,4.5
A couple is not looking at a map,A man and a woman are standing in front of an art gallery and are looking at a map,3.0
A man and a woman are standing in front of an art gallery and are looking at a map,A couple is looking at a map,4.2
The dog is running across the dirty path,The dog is running across the gravel,3.7
The cat is running across the gravel,The dog is running across the gravel,3.4
A little dog is running on the beach,A little dog is running on the sand,4.5
A little dog is running on the beach,The dog is running across the gravel,3.2
The dog is running across the dirty path,A little dog is running on the sand,3.7
A little dog is running on the sand,The cat is running across the gravel,3.0
A little dog is running on the sand,The dog is running across the gravel,3.1
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,4.6
One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,3.9
Two males are standing on a cliff edge and one is jumping into the water,Two males are standing on a cliff edge and no one is jumping into the water,3.7
Two males are standing on a cliff edge and no one is jumping into the water,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,3.3
A boy is playing a game with wooden blocks,A boy is playing a game with blocks made of wood,4.8
A boy is playing a game with steel blocks,A boy is playing a game with wooden blocks,4.0
A boy in blue shirt is looking at his hand near a stack of blocks on table,A boy is playing a game with steel blocks,3.2
A boy in blue shirt is looking at his hand near a stack of blocks on table,A boy is playing a game with wooden blocks,2.9
A woman is standing at the beach with a dog on a leash,A woman is standing at the beach with an animal on a leash,4.6
A woman is running on the beach with a dog on a leash,A woman is standing at the beach with a dog on a leash,4.0
A woman is running on the beach with a dog on a leash,A woman in a bikini is pulling a dog on a leash at the beach,4.0
A woman is standing at the beach with a dog on a leash,A woman in a bikini is pulling a dog on a leash at the seashore,3.8
A group of five old adults are lounging indoors,A group of five young adults are lounging indoors,3.4
A group of five old adults are lounging indoors,A small group of people are standing and two are sitting on the couch,3.5
A red and brown dog is digging its nose inside the holiday gift bag,The red and brown dog is digging its nose inside a holiday gift bag,5.0
The red and brown dog is digging its nose inside a holiday gift bag,The red and brown dog is not digging its nose inside a holiday gift bag,3.9
A dog has its head inside a red and green gift bag,A red and brown dog is digging its nose inside the holiday gift bag,3.6
A dog has its head inside a red and green gift bag,The red and brown dog is not digging its nose inside a holiday gift bag,2.8
A dog has its head inside a red and green gift bag,The red and brown dog is digging its nose inside a holiday gift bag,3.6
The man is biking in the snow and wearing a red jacket,The rider is biking in the snow and wearing a red jacket,4.4
A cyclist is biking in a snowy forest in the dark,The rider is biking in the snow and wearing a red jacket,3.3
A cyclist is biking in a snowy forest at night,The man is biking in the snow and wearing a red jacket,4.0
A girl with a bikini is playing in the dunes,A girl with a bikini is playing in the sand,4.6
A girl with a bikini is playing in the dunes,No girl with a bikini is playing in the dunes,3.465
A girl with a bikini is playing in the dunes,A young girl in a bikini is sitting on the beach,4.0
A young girl in a bikini is jumping on the beach,A girl with a bikini is playing in the sand,3.6
A young girl in a bikini is jumping on the beach,No girl with a bikini is playing in the dunes,3.5
A boy is wearing a hat and is walking in the wet sand,A little kid is wearing a hat and is walking in the wet sand,4.6
A wet kid is wearing sand and is walking on a little hat,A little kid is wearing a hat and is walking in the wet sand,3.4
A boy is wearing a white hat and is running on the beach,A boy is wearing a white hat and is walking on the beach,4.0
A boy is wearing a white hat and is running on the beach,A wet kid is wearing sand and is walking on a little hat,3.2
A boy is wearing a white hat and is running on the beach,A little kid is wearing a hat and is walking in the wet sand,4.1
A cardboard box is being touched by a man in a black hat,A man in a black hat is touching a cardboard box,4.9
A man in a black hat is not reaching for a box,A man in a black hat is reaching for a box,3.2
A man in a black hat is touching a cardboard box,A person in a black hat is reaching for a box,3.835
A man in a black hat is touching a cardboard box,A man in a black hat is not reaching for a box,3.585
A man in a black hat is reaching for a box,A cardboard box is being touched by a man in a black hat,4.1
A man in a black hat is reaching for a box,A man in a black hat is touching a cardboard box,3.9
A blond kid is going down a slide and throwing up his arms,A blond child is going down a slide and throwing up his arms,4.9
A young girl with a heart tank top is raising her hands as she is sliding,A young boy with a heart tank top is raising his hands as he is sliding,3.7
A young boy with a heart tank top is raising his hands as he is sliding,A blond child is going down a slide and throwing up his arms,3.7
A child with dark hair is going down a slide and throwing up his arms,A young girl with a heart tank top is raising her hands as she is sliding,3.9
Two dogs are playing on the beach,Two dogs are playing on a beach,4.8
Two dogs are playing on a beach,Two dogs are playing in a forest,3.7
A brown dog is running after a black dog on a rocky shore,A brown dog is running after a white dog on a rocky shore,3.6
Two dogs are playing on a beach,A brown dog is running after a dark dog on a rocky shore,3.0
Two dogs are playing on a beach,A brown dog is running after a white dog on a rocky shore,4.0
Two dogs are playing on a sandy beach,Two dogs are playing on a rocky beach,3.965
A black dog is approaching a golden dog on pebbly beach,A white dog is approaching a golden dog on pebbly beach,3.9
A large white dog is jumping up in the snow,A large white animal is jumping up in the snow,4.7
A small white dog is jumping up in the snow,A large white dog is jumping up in the snow,3.7
A large white dog is jumping up in the snow,A large black dog is jumping in the air over a snowy area,4.0
A large white dog is jumping up in the snow,A large white dog is jumping in the air over a snowy area,4.485
Two young boys are wearing hats and sticking their colored tongues out,Two young kids are wearing hats and sticking their colored tongues out,4.5
Two kids are not sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues,3.8
Two young kids are wearing hats and sticking their colored tongues out,Two kids are sticking out blue and green colored tongues,3.9
Two kids are sticking out blue and green colored tongues,Two young boys are wearing hats and sticking their colored tongues out,4.2
There is no dog standing on the side of a mountain,A dog is standing on the side of a mountain,4.0
A white dog is standing on a hill covered by grass,A white dog is standing on a grassy hillside,5.0
A white dog is standing on a grassy hillside,A black dog is standing on a grassy hillside,4.1
A dog is standing on the side of a mountain,A white dog is standing on a hill covered by grass,3.3
A dog is standing on the side of a mountain,A black dog is standing on a grassy hillside,3.8
